m-time,Flight ID, Ublox UTC,U Lat,U Long,U Alt,Speed,Vert speed,#Sat,Pressure,MIU,T1,T2,T3,T4,T5,T6,T7,T8
8/14/2025 10:15:00,ICARUS2,14:15:00,48.56779,-81.36569,287.6,0.06,0.07,12.0,985.29,3.286,15.55,11.87,17.07,12.91,14.26,10.16,17.87,14.22
8/14/2025 10:15:01,ICARUS2,14:15:01,48.56779,-81.36568,289.94167,0.1645,0.1615,12.0,984.46717,3.28578,15.531,11.86,17.058,12.88733,14.246,10.14917,17.84833,14.20933
8/14/2025 10:15:02,ICARUS2,14:15:02,48.56779,-81.36568,292.28333,0.269,0.253,12.0,983.64433,3.28557,15.512,11.85,17.046,12.86467,14.232,10.13833,17.82667,14.19867
8/14/2025 10:15:03,ICARUS2,14:15:03,48.56779,-81.36567,294.625,0.3735,0.3445,12.0,982.8215,3.28535,15.493,11.84,17.034,12.842,14.218,10.1275,17.805,14.188
8/14/2025 10:15:04,ICARUS2,14:15:04,48.56779,-81.36566,296.96667,0.478,0.436,12.0,981.99867,3.28513,15.474,11.83,17.022,12.81933,14.204,10.11667,17.78333,14.17733
8/14/2025 10:15:05,ICARUS2,14:15:05,48.56778,-81.36566,299.30833,0.5825,0.5275,12.0,981.17583,3.28492,15.455,11.82,17.01,12.79667,14.19,10.10583,17.76167,14.16667
8/14/2025 10:15:06,ICARUS2,14:15:06,48.56778,-81.36565,301.65,0.687,0.619,12.0,980.353,3.2847,15.436,11.81,16.998,12.774,14.176,10.095,17.74,14.156
8/14/2025 10:15:07,ICARUS2,14:15:07,48.56778,-81.36564,303.99167,0.7915,0.7105,12.0,979.53017,3.28448,15.417,11.8,16.986,12.75133,14.162,10.08417,17.71833,14.14533
8/14/2025 10:15:08,ICARUS2,14:15:08,48.56778,-81.36564,306.33333,0.896,0.802,12.0,978.70733,3.28427,15.398,11.79,16.974,12.72867,14.148,10.07333,17.69667,14.13467
8/14/2025 10:15:09,ICARUS2,14:15:09,48.56778,-81.36563,308.675,1.0005,0.8935,12.0,977.8845,3.28405,15.379,11.78,16.962,12.706,14.134,10.0625,17.675,14.124
8/14/2025 10:15:10,ICARUS2,14:15:10,48.56778,-81.36562,311.01667,1.105,0.985,12.0,977.06167,3.28383,15.36,11.77,16.95,12.68333,14.12,10.05167,17.65333,14.11333
8/14/2025 10:15:11,ICARUS2,14:15:11,48.56778,-81.36562,313.35833,1.2095,1.0765,12.0,976.23883,3.28362,15.341,11.76,16.938,12.66067,14.106,10.04083,17.63167,14.10267
8/14/2025 10:15:12,ICARUS2,14:15:12,48.56778,-81.36561,315.7,1.314,1.168,12.0,975.416,3.2834,15.322,11.75,16.926,12.638,14.092,10.03,17.61,14.092
8/14/2025 10:15:13,ICARUS2,14:15:13,48.56777,-81.36561,318.04167,1.4185,1.2595,12.0,974.59317,3.28318,15.303,11.74,16.914,12.61533,14.078,10.01917,17.58833,14.08133
8/14/2025 10:15:14,ICARUS2,14:15:14,48.56777,-81.3656,320.38333,1.523,1.351,12.0,973.77033,3.28297,15.284,11.73,16.902,12.59267,14.064,10.00833,17.56667,14.07067
8/14/2025 10:15:15,ICARUS2,14:15:15,48.56777,-81.36559,322.725,1.6275,1.4425,12.0,972.9475,3.28275,15.265,11.72,16.89,12.57,14.05,9.9975,17.545,14.06
8/14/2025 10:15:16,ICARUS2,14:15:16,48.56777,-81.36559,325.06667,1.732,1.534,12.0,972.12467,3.28253,15.246,11.71,16.878,12.54733,14.036,9.98667,17.52333,14.04933
8/14/2025 10:15:17,ICARUS2,14:15:17,48.56777,-81.36558,327.40833,1.8365,1.6255,12.0,971.30183,3.28232,15.227,11.7,16.866,12.52467,14.022,9.97583,17.50167,14.03867
8/14/2025 10:15:18,ICARUS2,14:15:18,48.56777,-81.36557,329.75,1.941,1.717,12.0,970.479,3.2821,15.208,11.69,16.854,12.502,14.008,9.965,17.48,14.028
8/14/2025 10:15:19,ICARUS2,14:15:19,48.56777,-81.36557,332.09167,2.0455,1.8085,12.0,969.65617,3.28188,15.189,11.68,16.842,12.47933,13.994,9.95417,17.45833,14.01733
8/14/2025 10:15:20,ICARUS2,14:15:20,48.56777,-81.36556,334.43333,2.15,1.9,12.0,968.83333,3.28167,15.17,11.67,16.83,12.45667,13.98,9.94333,17.43667,14.00667
8/14/2025 10:15:21,ICARUS2,14:15:21,48.56777,-81.36555,336.775,2.2545,1.9915,12.0,968.0105,3.28145,15.151,11.66,16.818,12.434,13.966,9.9325,17.415,13.996
8/14/2025 10:15:22,ICARUS2,14:15:22,48.56776,-81.36555,339.11667,2.359,2.083,12.0,967.18767,3.28123,15.132,11.65,16.806,12.41133,13.952,9.92167,17.39333,13.98533
8/14/2025 10:15:23,ICARUS2,14:15:23,48.56776,-81.36554,341.45833,2.4635,2.1745,12.0,966.36483,3.28102,15.113,11.64,16.794,12.38867,13.938,9.91083,17.37167,13.97467
8/14/2025 10:15:24,ICARUS2,14:15:24,48.56776,-81.36553,343.8,2.568,2.266,12.0,965.542,3.2808,15.094,11.63,16.782,12.366,13.924,9.9,17.35,13.964
8/14/2025 10:15:25,ICARUS2,14:15:25,48.56776,-81.36553,346.14167,2.6725,2.3575,12.0,964.71917,3.28058,15.075,11.62,16.77,12.34333,13.91,9.88917,17.32833,13.95333
8/14/2025 10:15:26,ICARUS2,14:15:26,48.56776,-81.36552,348.48333,2.777,2.449,12.0,963.89633,3.28037,15.056,11.61,16.758,12.32067,13.896,9.87833,17.30667,13.94267
8/14/2025 10:15:27,ICARUS2,14:15:27,48.56776,-81.36551,350.825,2.8815,2.5405,12.0,963.0735,3.28015,15.037,11.6,16.746,12.298,13.882,9.8675,17.285,13.932
