m-time,Flight ID, Ublox UTC,U Lat,U Long,U Alt,Speed,Vert speed,#Sat,Pressure,MIU,T1,T2,T3,T4,T5,T6,T7,T8
8/14/2025 10:15,ICARUS2 ,8/14/2025 14:14,48.56779,-81.36569,287.6,0.06,0.07,12,985.29,3.286,15.55,11.87,17.07,12.91,14.26,10.16,17.87,14.22
8/14/2025 10:16,ICARUS2 ,8/14/2025 14:16,48.56772,-81.3653,428.1,6.33,5.56,12,935.92,3.273,14.41,11.27,16.35,11.55,13.42,9.51,16.57,13.58
8/14/2025 10:18,ICARUS2 ,8/14/2025 14:17,48.56793,-81.36539,966.9,14.65,10.36,12,881.2,3.315,11.54,7.44,12.37,7.76,10.78,6.94,12.78,9.75
8/14/2025 10:19,ICARUS2 ,8/14/2025 14:18,48.56689,-81.366,1407.2,22.49,9.76,12,834.29,3.295,8.27,4.22,9.94,4.7,6.31,3.27,9.5,7.06
8/14/2025 10:20,ICARUS2 ,8/14/2025 14:19,48.56607,-81.36288,1877.7,15.29,9.79,12,788.67,3.33,4.31,1.09,5.9,1.88,4.57,0.46,6.94,3.83
8/14/2025 10:21,ICARUS2 ,8/14/2025 14:21,48.56409,-81.35989,2345.1,13.93,4.97,12,746.08,3.309,2.12,-1.4,3.24,-1.16,1.07,-2.49,3.81,1.47
8/14/2025 10:22,ICARUS2 ,8/14/2025 14:22,48.56236,-81.35718,2799.3,10.66,5.48,12,704.28,3.325,-1.29,-4.61,0.57,-4.07,-2.57,-4.97,0.52,-2.64
8/14/2025 10:24,ICARUS2 ,8/14/2025 14:23,48.56003,-81.35318,3283.4,27.53,5.76,12,662.85,3.322,-3.86,-8.08,-2.53,-6.97,-4.97,-8.53,-1.79,-4.63
8/14/2025 10:26,ICARUS2 ,8/14/2025 14:25,48.55333,-81.33679,4340.4,43.32,6.22,12,575.54,3.322,-11.34,-14.11,-10.29,-13.51,-12.02,-15.55,-9.0,-11.86
8/14/2025 10:27,ICARUS2 ,8/14/2025 14:27,48.55011,-81.32642,4833.9,35.2,4.92,12,539.83,3.288,-15.06,-18.05,-12.9,-17.0,-14.44,-18.83,-12.06,-15.46
8/14/2025 10:29,ICARUS2 ,8/14/2025 14:28,48.5463,-81.31516,5337.6,40.77,5.28,12,505.96,3.27,-18.09,-21.38,-16.05,-20.34,-19.18,-21.42,-17.06,-18.96
8/14/2025 10:30,ICARUS2 ,8/14/2025 14:29,48.54106,-81.30243,5858.3,50.05,5.71,12,478.32,3.288,-20.34,-24.34,-19.54,-24.12,-21.64,-25.05,-18.39,-21.94
8/14/2025 10:31,ICARUS2 ,8/14/2025 14:30,48.53593,-81.29166,6298.3,56.81,5.19,12,446.78,3.26,-23.06,-27.41,-22.19,-26.29,-24.06,-27.74,-21.39,-25.25
